epoch,model,class,pseudo_hist,accepted_hist,true_count,pseudo_acc,accepted_true_count,accepted_pseudo_acc
1,fixmatch,0,38174,2702,11496,0.8208072372999304,1519,0.9749835418038183
1,fixmatch,1,26852,2334,11412,0.746757798808272,1454,0.9910591471801926
1,fixmatch,2,28832,0,11422,0.47303449483452986,107,0.0
1,fixmatch,3,18295,0,11458,0.3652469890033165,24,0.0
1,fixmatch,4,1940,0,11455,0.05115670013094718,30,0.0
1,fixmatch,5,517,0,11511,0.015115976022934585,25,0.0
1,fixmatch,6,54,0,11523,0.0026034886748242643,26,0.0
1,fixmatch,7,20,0,11484,8.707767328456984e-05,30,0.0
1,fixmatch,8,3,0,11454,0.0,1088,0.0
1,fixmatch,9,1,0,11473,8.716116098666435e-05,733,0.0
2,fixmatch,0,35668,5332,11406,0.8820796072242679,3033,0.9841740850642928
2,fixmatch,1,23786,7511,11527,0.8707382666782337,5132,0.995128604832424
2,fixmatch,2,26280,2,11532,0.5327783558792925,108,0.009259259259259259
2,fixmatch,3,18493,0,11476,0.4281108400139421,35,0.0
2,fixmatch,4,7465,0,11506,0.20345906483573786,52,0.0
2,fixmatch,5,2170,0,11455,0.08371890004364906,17,0.0
2,fixmatch,6,648,0,11412,0.03478794251664914,29,0.0
2,fixmatch,7,178,0,11445,0.009611183923110528,44,0.0
2,fixmatch,8,0,0,11484,0.0,2175,0.0
2,fixmatch,9,0,0,11445,0.0,2220,0.0
3,fixmatch,0,34111,7537,11524,0.8992537313432836,4409,0.9925153095940122
3,fixmatch,1,22779,10102,11459,0.8985077231870146,6905,0.9950760318609703
3,fixmatch,2,24760,27,11465,0.5834278238116005,181,0.13259668508287292
3,fixmatch,3,18093,1,11478,0.4621885345879073,48,0.020833333333333332
3,fixmatch,4,9226,2,11424,0.2967436974789916,57,0.03508771929824561
3,fixmatch,5,2912,1,11432,0.13619664100769768,28,0.0
3,fixmatch,6,2074,0,11464,0.12308094905792044,58,0.0
3,fixmatch,7,728,0,11493,0.04602801705385887,57,0.0
3,fixmatch,8,0,0,11450,0.0,2840,0.0
3,fixmatch,9,5,0,11499,0.0003478563353335073,3087,0.0
4,fixmatch,0,32218,8759,11468,0.9107952563655389,5384,0.9934992570579495
4,fixmatch,1,21899,11376,11412,0.9157027690150719,7936,0.9964717741935484
4,fixmatch,2,23027,176,11485,0.61767522855899,342,0.4444444444444444
4,fixmatch,3,18950,14,11485,0.5031780583369613,85,0.09411764705882353
4,fixmatch,4,10278,13,11504,0.3639603616133519,117,0.08547008547008547
4,fixmatch,5,3067,1,11471,0.15691744398919014,34,0.029411764705882353
4,fixmatch,6,3173,36,11438,0.20545549921314915,85,0.3764705882352941
4,fixmatch,7,2066,24,11435,0.1445561871447311,96,0.23958333333333334
4,fixmatch,8,3,0,11530,0.00026019080659150045,2964,0.0
4,fixmatch,9,7,0,11460,0.0005235602094240838,3356,0.0
5,fixmatch,0,31437,9648,11441,0.9179267546543134,6216,0.9945302445302445
5,fixmatch,1,21616,11988,11528,0.9371096460791117,8753,0.9948589055181081
5,fixmatch,2,21560,716,11421,0.6415375186060766,868,0.6831797235023042
5,fixmatch,3,17723,73,11446,0.522191158483313,160,0.3
5,fixmatch,4,10745,106,11470,0.4047079337401918,275,0.33090909090909093
5,fixmatch,5,4792,20,11505,0.24858757062146894,101,0.1782178217821782
5,fixmatch,6,3985,121,11533,0.2724356195265759,220,0.5181818181818182
5,fixmatch,7,2599,42,11487,0.17846260990685123,143,0.2937062937062937
5,fixmatch,8,119,0,11404,0.009031918625043845,2793,0.0
5,fixmatch,9,112,0,11453,0.008032829826246398,3185,0.0
6,fixmatch,0,30414,10636,11495,0.9277076989995651,6766,0.9951226721844517
6,fixmatch,1,21194,12677,11433,0.9432344966325549,9155,0.9956308028399782
6,fixmatch,2,19562,1537,11482,0.6537188643093538,1584,0.8257575757575758
6,fixmatch,3,18243,477,11509,0.5602571900251977,481,0.6777546777546778
6,fixmatch,4,11300,260,11502,0.4548774126238915,452,0.4756637168141593
6,fixmatch,5,5378,177,11428,0.2815890794539727,352,0.4602272727272727
6,fixmatch,6,4959,430,11448,0.3353424178895877,563,0.7246891651865008
6,fixmatch,7,3260,123,11411,0.22881430198930855,318,0.37735849056603776
6,fixmatch,8,261,1,11504,0.019906119610570237,3078,0.0003248862897985705
6,fixmatch,9,117,0,11476,0.008365284071104914,3569,0.0
7,fixmatch,0,29400,10578,11442,0.9318300996329313,7069,0.996180506436554
7,fixmatch,1,20988,12344,11533,0.9499696523020896,9416,0.9954333050127443
7,fixmatch,2,19891,2484,11459,0.6889780958198796,2361,0.8975010588733587
7,fixmatch,3,17767,785,11439,0.5757496284640266,741,0.766531713900135
7,fixmatch,4,11153,391,11405,0.478211310828584,581,0.5697074010327022
7,fixmatch,5,5711,357,11471,0.31200418446517303,594,0.563973063973064
7,fixmatch,6,5098,659,11469,0.35731101229400997,825,0.7612121212121212
7,fixmatch,7,3638,205,11512,0.25816539263377347,469,0.4157782515991471
7,fixmatch,8,451,8,11463,0.03559277676001047,2678,0.002987303958177745
7,fixmatch,9,591,7,11495,0.04488908220965637,3084,0.002269779507133593
8,fixmatch,0,28690,12204,11462,0.9370964927586809,7797,0.9951263306399898
8,fixmatch,1,20504,12457,11471,0.951006886932264,9527,0.9939120394667786
8,fixmatch,2,18745,3146,11465,0.6999563890100305,2992,0.9047459893048129
8,fixmatch,3,17654,1022,11495,0.583732057416268,970,0.7474226804123711
8,fixmatch,4,12334,880,11454,0.5455735987427973,1028,0.7042801556420234
8,fixmatch,5,6801,656,11507,0.3650821239245677,880,0.678409090909091
8,fixmatch,6,5338,825,11440,0.3833041958041958,1076,0.7286245353159851
8,fixmatch,7,3192,271,11490,0.2352480417754569,648,0.4058641975308642
8,fixmatch,8,688,15,11429,0.05302301163706361,3386,0.004134672179562906
8,fixmatch,9,742,9,11475,0.058910675381263614,3181,0.0028292989625903803
9,fixmatch,0,27949,12391,11495,0.9398869073510222,8017,0.9932643133341649
9,fixmatch,1,19954,12382,11410,0.950219106047327,9523,0.9948545626378242
9,fixmatch,2,18793,4243,11448,0.7244060097833682,3764,0.9144527098831031
9,fixmatch,3,18006,1838,11447,0.6303835065956146,1619,0.8332303891290921
9,fixmatch,4,11455,1304,11482,0.5406723567322766,1496,0.7165775401069518
9,fixmatch,5,6516,781,11539,0.3708293612964728,1225,0.5918367346938775
9,fixmatch,6,5780,1397,11471,0.4171388719379304,1791,0.7414852037967616
9,fixmatch,7,4061,507,11438,0.2883371218744536,1054,0.4629981024667932
9,fixmatch,8,1083,104,11501,0.08503608381879836,3327,0.03005710850616171
9,fixmatch,9,1091,51,11457,0.08719560094265515,3182,0.016027655562539284
10,fixmatch,0,26949,12724,11459,0.9355092067370626,8294,0.992645285748734
10,fixmatch,1,20324,13188,11483,0.9568927980492903,9961,0.9946792490713784
10,fixmatch,2,18484,4825,11509,0.7388999913111478,4365,0.9138602520045819
10,fixmatch,3,16919,2641,11447,0.6312570979295885,2252,0.8579040852575488
10,fixmatch,4,12289,2043,11482,0.5797770423271207,2097,0.7939914163090128
10,fixmatch,5,6934,1154,11359,0.40426093846289285,1703,0.624192601291838
10,fixmatch,6,6061,1703,11502,0.436358894105373,2119,0.7649834827748938
10,fixmatch,7,4025,560,11491,0.2953615873292142,1289,0.425911559348332
10,fixmatch,8,1462,168,11480,0.11681184668989547,3494,0.04751001717229536
10,fixmatch,9,1241,54,11476,0.09864064133844545,3486,0.01549053356282272
11,fixmatch,0,27039,12976,11450,0.9461135371179039,8463,0.9958643507030603
11,fixmatch,1,19724,12822,11432,0.9587123862841148,9961,0.9937757253287822
11,fixmatch,2,17763,5216,11437,0.738830112791816,4670,0.9201284796573875
11,fixmatch,3,17549,3278,11487,0.6534343170540611,2649,0.8773121932804832
11,fixmatch,4,12399,2767,11466,0.601168672597244,2690,0.8245353159851301
11,fixmatch,5,7168,1454,11480,0.4202961672473868,2144,0.6240671641791045
11,fixmatch,6,6167,1868,11530,0.4450130095403296,2421,0.7385377942998761
11,fixmatch,7,3969,662,11464,0.29989532449406836,1516,0.42744063324538256
11,fixmatch,8,1377,151,11504,0.11196105702364395,3582,0.041596873255164715
11,fixmatch,9,1533,99,11438,0.12449728973596783,3197,0.030966531122927746
12,fixmatch,0,27253,13527,11521,0.9475739953129069,8690,0.9940161104718067
12,fixmatch,1,19337,12989,11526,0.9570536179073399,10115,0.99268413247652
12,fixmatch,2,18082,6063,11488,0.7534818941504178,5193,0.9250914692855767
12,fixmatch,3,16652,3575,11485,0.6472790596430126,2982,0.8611670020120724
12,fixmatch,4,11904,3201,11436,0.6062434417628542,3178,0.8174952800503461
12,fixmatch,5,7086,1842,11472,0.4341004184100418,2638,0.6421531463229719
12,fixmatch,6,6188,2025,11367,0.4559690331661828,2663,0.7258730754787833
12,fixmatch,7,4725,1203,11463,0.35069353572363254,2176,0.5372242647058824
12,fixmatch,8,1485,188,11457,0.12202147158942131,3756,0.049254526091586794
12,fixmatch,9,1976,267,11473,0.15750021790290247,3489,0.07480653482373173
13,fixmatch,0,25805,13458,11421,0.9451886875054724,8855,0.9936758893280633
13,fixmatch,1,19543,13212,11457,0.9625556428384394,10176,0.9941037735849056
13,fixmatch,2,17644,6204,11538,0.7626971745536488,5477,0.9264195727588096
13,fixmatch,3,16987,4274,11382,0.670444561588473,3478,0.8726279470960322
13,fixmatch,4,12275,3823,11491,0.6339744147593769,3654,0.8503010399562124
13,fixmatch,5,7372,2328,11489,0.45208460266341716,3160,0.6806962025316455
13,fixmatch,6,6285,2402,11511,0.46338285118582223,3095,0.7450726978998384
13,fixmatch,7,4892,1589,11429,0.3743109633388748,2617,0.5938097057699656
13,fixmatch,8,1880,363,11497,0.15308341306427764,3852,0.0926791277258567
13,fixmatch,9,2005,262,11473,0.1610738255033557,3551,0.07293720078851028
14,fixmatch,0,25928,13851,11492,0.9509223807866342,9078,0.9930601454064772
14,fixmatch,1,19001,13152,11498,0.9631240215689685,10303,0.9933029214791809
14,fixmatch,2,17652,6769,11384,0.7783731553056922,5918,0.9300439337614059
14,fixmatch,3,16948,4573,11556,0.6750605745932848,3729,0.8702064896755162
14,fixmatch,4,11917,3895,11447,0.6399056521359308,3782,0.8495505023796933
14,fixmatch,5,7118,2345,11439,0.45248710551621646,3283,0.6631130063965884
14,fixmatch,6,6421,2463,11497,0.4715143080803688,3235,0.7347758887171562
14,fixmatch,7,5323,1986,11511,0.4083919728954913,3026,0.6394580304031725
14,fixmatch,8,2144,538,11390,0.17848990342405618,4015,0.13325031133250312
14,fixmatch,9,2236,287,11474,0.18267387136133867,3490,0.08166189111747851
15,fixmatch,0,25591,14393,11496,0.9532881002087683,9315,0.9919484702093397
15,fixmatch,1,18314,13062,11453,0.9608836112808871,10288,0.9940707620528771
15,fixmatch,2,17359,7036,11479,0.7704503876644307,6091,0.9203743227713019
15,fixmatch,3,16750,5163,11448,0.6816037735849056,4201,0.8750297548202809
15,fixmatch,4,11266,4269,11537,0.639854381554997,4279,0.8396821687310119
15,fixmatch,5,7285,2646,11458,0.46404259032990053,3694,0.65755278830536
15,fixmatch,6,6661,2819,11354,0.5007926721860138,3622,0.7490336830480397
15,fixmatch,7,5950,2628,11532,0.4527402011793271,3648,0.6990131578947368
15,fixmatch,8,2328,590,11495,0.19521531100478468,4331,0.13576541214500115
15,fixmatch,9,3184,800,11436,0.2575201119272473,3937,0.19964439928879857
16,fixmatch,0,24683,13810,11456,0.9541724860335196,9239,0.9926398960926507
16,fixmatch,1,18669,13471,11450,0.9625327510917031,10375,0.9927710843373494
16,fixmatch,2,17049,7316,11471,0.7783105221863831,6246,0.9281139929554915
16,fixmatch,3,16837,5742,11490,0.6879895561357703,4596,0.8709747606614447
16,fixmatch,4,12143,5072,11449,0.6620665560310944,4733,0.862243819987323
16,fixmatch,5,7262,2895,11475,0.4612636165577342,4097,0.6465706614596046
16,fixmatch,6,6940,3194,11517,0.5184509854996961,4109,0.746897055244585
16,fixmatch,7,5444,2514,11367,0.4276414181402305,3823,0.6411195396285639
16,fixmatch,8,2995,994,11500,0.24895652173913044,4324,0.22849213691026826
16,fixmatch,9,2666,579,11513,0.22009901850082517,4045,0.1411619283065513
17,fixmatch,0,24644,14513,11463,0.952979150309692,9461,0.9921784166578586
17,fixmatch,1,18430,13597,11450,0.9678602620087337,10564,0.9920484664899659
17,fixmatch,2,17663,7951,11460,0.7930191972076789,6647,0.929592297276967
17,fixmatch,3,16043,5758,11434,0.685237012419101,4607,0.8780117212936835
17,fixmatch,4,11800,5309,11456,0.6778107541899442,5184,0.8636188271604939
17,fixmatch,5,7069,2946,11482,0.4628113569064623,4314,0.6353732035234122
17,fixmatch,6,6863,3296,11482,0.5188991464901586,4302,0.7361692236169224
17,fixmatch,7,6339,3138,11532,0.48794658342004854,4264,0.7164634146341463
17,fixmatch,8,2657,937,11449,0.22517250414883397,4651,0.20060202107073746
17,fixmatch,9,3180,1015,11480,0.26445993031358883,4466,0.2250335871025526
18,fixmatch,0,24929,15051,11468,0.9558772235786537,9603,0.9907320628970113
18,fixmatch,1,17770,13204,11604,0.9657014822475009,10679,0.991946811499204
18,fixmatch,2,16872,7971,11397,0.7952092655962095,6832,0.9234484777517564
18,fixmatch,3,16378,6374,11469,0.7038102711657511,5105,0.8812928501469148
18,fixmatch,4,11971,5508,11506,0.6903354771423605,5350,0.862803738317757
18,fixmatch,5,7102,3169,11394,0.47472353870458134,4566,0.6465177398160316
18,fixmatch,6,7002,3458,11437,0.5394771356124858,4347,0.7692661605705085
18,fixmatch,7,6214,3243,11487,0.48811700182815354,4439,0.7177292182924082
18,fixmatch,8,2728,1089,11451,0.22949960702122085,5080,0.2125984251968504
18,fixmatch,9,3722,1211,11475,0.3127668845315904,4277,0.2803366845920037
19,fixmatch,0,24292,14702,11461,0.9571590611639473,9601,0.9938548067909593
19,fixmatch,1,17544,13205,11288,0.9688164422395464,10432,0.9929064417177914
19,fixmatch,2,16729,7946,11590,0.7981880931837791,7033,0.9252097255794114
19,fixmatch,3,16426,6350,11481,0.7091716749412073,5091,0.8762522097819682
19,fixmatch,4,11227,5297,11431,0.6832298136645962,5306,0.867885412740294
19,fixmatch,5,7396,3414,11566,0.48582050838665053,4725,0.6677248677248677
19,fixmatch,6,7521,3897,11478,0.5698728001393971,4729,0.7967857898075703
19,fixmatch,7,6519,3678,11480,0.5183797909407666,4735,0.759662090813094
19,fixmatch,8,3036,1182,11492,0.2558301427079708,4849,0.24190554753557433
19,fixmatch,9,3998,1606,11421,0.33569739952718675,4776,0.33396147403685095
20,fixmatch,0,24200,15174,11459,0.9574133868574919,9781,0.9919231162457827
20,fixmatch,1,16872,12854,11511,0.9692468074016158,10601,0.9921705499481182
20,fixmatch,2,16423,8092,11397,0.7997718697902957,7021,0.9216635806865119
20,fixmatch,3,16744,6962,11466,0.7161172161172161,5439,0.8838021695164552
20,fixmatch,4,11687,5899,11454,0.6953029509341715,5772,0.8711018711018711
20,fixmatch,5,7261,3495,11489,0.4803725302463226,4953,0.6478901675752069
20,fixmatch,6,7074,3724,11501,0.5509086166420312,4768,0.7581795302013423
20,fixmatch,7,6636,3813,11435,0.5213817227809358,4990,0.743687374749499
20,fixmatch,8,3219,1364,11455,0.27158446093408994,5291,0.2560952560952561
20,fixmatch,9,4572,1974,11521,0.3841680409686659,4735,0.41351636747624076
21,fixmatch,0,24109,14880,11458,0.9609879560132658,9834,0.992475086434818
21,fixmatch,1,17464,13380,11534,0.9696549332408532,10711,0.9934646624964989
21,fixmatch,2,16802,8715,11508,0.8120437956204379,7453,0.9331812692875352
21,fixmatch,3,15735,6706,11454,0.711017984983412,5505,0.8801089918256131
21,fixmatch,4,11479,5891,11453,0.7109054396228063,5902,0.8820738732633006
21,fixmatch,5,7525,3757,11448,0.502183787561146,5067,0.6844286560094731
21,fixmatch,6,7339,4057,11418,0.5734804694342267,5032,0.7790143084260731
21,fixmatch,7,6961,4197,11487,0.5546269696178289,5266,0.7804785415875427
21,fixmatch,8,3290,1330,11485,0.27784066173269484,4950,0.2680808080808081
21,fixmatch,9,3984,1699,11443,0.33880975268723235,4892,0.34689288634505316
22,fixmatch,0,23835,14919,11429,0.9580015749409397,9818,0.9914442860052964
22,fixmatch,1,17579,13481,11417,0.9721467986336165,10606,0.9948142560814633
22,fixmatch,2,16645,8905,11501,0.8162768454916963,7587,0.9310662976143403
22,fixmatch,3,16147,7242,11515,0.7224489795918367,5827,0.887077398318174
22,fixmatch,4,11230,6038,11434,0.7145355955920938,6147,0.8742476004555068
22,fixmatch,5,7316,3726,11418,0.5021019442984761,5182,0.6692396758008491
22,fixmatch,6,7381,4113,11529,0.5688264376788967,5187,0.7653749759012917
22,fixmatch,7,7248,4587,11439,0.5767112509834775,5597,0.7973914597105592
22,fixmatch,8,3259,1516,11497,0.27581108115160474,5281,0.28593069494413936
22,fixmatch,9,4048,1746,11509,0.34312277348162307,5041,0.3449712358658996
23,fixmatch,0,24209,15494,11500,0.9651304347826087,10075,0.9922580645161291
23,fixmatch,1,17117,13293,11498,0.9696468951121934,10704,0.9930866965620329
23,fixmatch,2,16360,8931,11458,0.8141909582824227,7661,0.9293825871296175
23,fixmatch,3,16163,7533,11427,0.73597619672705,5997,0.8904452226113057
23,fixmatch,4,10794,5952,11521,0.7068830830657061,6262,0.8669754072181411
23,fixmatch,5,7230,3891,11489,0.5018713552093307,5485,0.6601640838650866
23,fixmatch,6,7685,4549,11482,0.6049468733670093,5472,0.8086622807017544
23,fixmatch,7,7576,4945,11435,0.6015741145605596,5938,0.8130683731896261
23,fixmatch,8,3310,1479,11441,0.2824927890918626,5309,0.27688830288189864
23,fixmatch,9,4244,1900,11437,0.3634694412870508,5064,0.3730252764612954
24,fixmatch,0,24181,15912,11457,0.9634284716767042,10041,0.9921322577432526
24,fixmatch,1,17317,13685,11469,0.9729706164443281,10795,0.993422880963409
24,fixmatch,2,16001,8853,11457,0.8200226935497948,7774,0.9257782351427837
24,fixmatch,3,16591,7948,11512,0.7470465601111883,6245,0.8923939151321056
24,fixmatch,4,11096,6357,11489,0.7267821394377231,6482,0.8830607837087319
24,fixmatch,5,7269,3860,11482,0.5013063926145271,5513,0.6511881008525304
24,fixmatch,6,7610,4497,11431,0.5995975855130785,5499,0.7937806873977087
24,fixmatch,7,7485,5023,11516,0.5985585272664119,6014,0.8180911207183239
24,fixmatch,8,3107,1508,11466,0.264695621838479,5770,0.25979202772963605
24,fixmatch,9,4031,1871,11409,0.3457796476465948,5381,0.3462181750603977
25,fixmatch,0,23161,15288,11581,0.9636473534237112,10141,0.9919140124248101
25,fixmatch,1,17050,13514,11438,0.9735093547823046,10724,0.9927265945542708
25,fixmatch,2,16555,9207,11478,0.8296741592611954,7975,0.926896551724138
25,fixmatch,3,15565,7597,11429,0.7377723335374924,6202,0.8847146081909062
25,fixmatch,4,11435,6793,11416,0.7464961457603364,6771,0.8957317973711416
25,fixmatch,5,7628,4289,11405,0.5299430074528716,5764,0.693442054129077
25,fixmatch,6,7323,4401,11541,0.5807122433064725,5585,0.7692032229185318
25,fixmatch,7,7374,4899,11422,0.5963053755909649,5948,0.808843308675185
