epoch,mode,epoch_time_sec,peak_allocated_mb,peak_reserved_mb,param_count_m,param_count_major_m,param_count_minor_m,train_loss,train_loss_x,train_loss_u,mask,mask_major,mask_minor,test_acc,test_acc_major,test_acc_minor,test_acc_ensemble,test_acc_final,macro_f1,macro_f1_major,macro_f1_minor,macro_f1_ensemble,macro_f1_final,pseudo_pred_js,pseudo_pred_l1,pseudo_agreement_rate,pseudo_accepted_js,pseudo_accepted_agreement_rate
1,fixmatch,137.31994247436523,1742.90283203125,2162.0,1.46761,,,1.1135193591471761,1.0972780891461298,0.016241269984831774,0.04391043735540734,,,17.23,,,,,8.64877924323082,,,,,,,,,
2,fixmatch,137.17675638198853,1742.90283203125,2162.0,1.46761,,,0.8922643553814851,0.8618665257818066,0.03039783020176401,0.11199951679736841,,,20.02,,,,,11.438018083572388,,,,,,,,,
3,fixmatch,137.1496124267578,1742.90283203125,2162.0,1.46761,,,0.7781687878887169,0.7455189767642878,0.032649810197654006,0.15407018025871366,,,25.79,,,,,17.30545461177826,,,,,,,,,
4,fixmatch,137.23153352737427,1742.90283203125,2162.0,1.46761,,,0.6761036528041586,0.6367472773999907,0.039356375882562133,0.1778651727217948,,,32.26,,,,,22.71501272916794,,,,,,,,,
5,fixmatch,137.03983688354492,1742.90283203125,2162.0,1.46761,,,0.6237348256399855,0.5714912833063863,0.052243542562791845,0.1980503717204556,,,37.02,,,,,27.587556838989258,,,,,,,,,
6,fixmatch,137.31778025627136,1742.90283203125,2162.0,1.46761,,,0.5701742654200643,0.4958940533542773,0.07428021253508632,0.2294747591658961,,,41.35,,,,,32.58915841579437,,,,,,,,,
7,fixmatch,137.0585741996765,1742.90283203125,2162.0,1.46761,,,0.5207866465498228,0.4327957800778677,0.08799086526050814,0.24255372275365517,,,44.72,,,,,36.619943380355835,,,,,,,,,
8,fixmatch,136.98445320129395,1742.90283203125,2162.0,1.46761,,,0.4905904771585483,0.38676714287430514,0.10382333314919379,0.2745274258486461,,,47.16,,,,,39.857715368270874,,,,,,,,,
9,fixmatch,137.42179703712463,1742.90283203125,2162.0,1.46761,,,0.469188380317064,0.3399419414199656,0.12924643854785245,0.30515835669939406,,,49.93,,,,,43.62565875053406,,,,,,,,,
10,fixmatch,137.24744629859924,1742.90283203125,2162.0,1.46761,,,0.4493851469887886,0.2998305032706412,0.14955464269587537,0.3405761874746531,,,51.8,,,,,46.32037580013275,,,,,,,,,
11,fixmatch,137.10488104820251,1742.90283203125,2162.0,1.46761,,,0.4368494368100073,0.2731628232359071,0.1636866141052451,0.3600464026676491,,,54.45,,,,,49.732232093811035,,,,,,,,,
12,fixmatch,137.41180276870728,1742.90283203125,2162.0,1.46761,,,0.42603661911562085,0.24198157350474503,0.18405504620750435,0.39132256287848577,,,56.52,,,,,52.48774290084839,,,,,,,,,
13,fixmatch,137.1923770904541,1742.90283203125,2162.0,1.46761,,,0.41120853542815894,0.21064572742034215,0.2005628080223687,0.41778566414723173,,,58.15,,,,,54.646795988082886,,,,,,,,,
14,fixmatch,137.3703269958496,1742.90283203125,2162.0,1.46761,,,0.3976744194806088,0.18890267723691068,0.2087717412650818,0.4347359999665059,,,59.57,,,,,56.44923448562622,,,,,,,,,
15,fixmatch,137.11742615699768,1742.90283203125,2162.0,1.46761,,,0.39744716888526455,0.1673311075373931,0.23011606177897193,0.4656633863924071,,,61.19,,,,,58.65612030029297,,,,,,,,,
16,fixmatch,137.2215211391449,1742.90283203125,2162.0,1.46761,,,0.39226145355496556,0.15302266149774368,0.23923879126959946,0.48468019790016115,,,62.61,,,,,60.48773527145386,,,,,,,,,
17,fixmatch,137.1203417778015,1742.90283203125,2162.0,1.46761,,,0.38567317990236916,0.13240475956718,0.2532684200850781,0.509730770078022,,,63.79,,,,,61.974745988845825,,,,,,,,,
18,fixmatch,137.36422061920166,1742.90283203125,2162.0,1.46761,,,0.37667182469158433,0.12206564557982347,0.25460617904900573,0.5255824741907418,,,64.7,,,,,63.150519132614136,,,,,,,,,
19,fixmatch,137.23204708099365,1742.90283203125,2162.0,1.46761,,,0.36548609600868076,0.10832468503303971,0.2571614110493101,0.5342930637998506,,,66.07,,,,,64.86767530441284,,,,,,,,,
20,fixmatch,137.2158284187317,1742.90283203125,2162.0,1.46761,,,0.3697389215230942,0.10311890683806268,0.26662001479417086,0.5523769086576067,,,67.12,,,,,66.14480018615723,,,,,,,,,
