epoch,model,class,pseudo_hist,accepted_hist,true_count,pseudo_acc,accepted_true_count,accepted_pseudo_acc
1,major,0,39174,0,11485,0.829081410535481,0,0.0
1,major,1,24732,0,11446,0.7554604228551459,0,0.0
1,major,2,29465,0,11443,0.4739141833435288,0,0.0
1,major,3,18577,0,11492,0.37138879220327187,0,0.0
1,major,4,2118,0,11469,0.05588978986834074,0,0.0
1,major,5,374,0,11501,0.008694896095991653,0,0.0
1,major,6,216,0,11499,0.008522480215670928,0,0.0
1,major,7,30,0,11427,0.00017502406580904875,0,0.0
1,major,8,1,0,11451,8.732861758798358e-05,0,0.0
1,major,9,1,0,11475,0.0,0,0.0
1,minor,0,9172,0,11485,0.33548106225511537,0,0.0
1,minor,1,12357,0,11446,0.4634806919447842,0,0.0
1,minor,2,5273,0,11443,0.1313466748230359,0,0.0
1,minor,3,7983,0,11492,0.17882004872955098,0,0.0
1,minor,4,12388,0,11469,0.31999302467521146,0,0.0
1,minor,5,13998,0,11501,0.390661681592905,0,0.0
1,minor,6,15492,0,11499,0.495956170101748,0,0.0
1,minor,7,12476,0,11427,0.41104401855255096,0,0.0
1,minor,8,13623,0,11451,0.5060693389223648,0,0.0
1,minor,9,11926,0,11475,0.4117647058823529,0,0.0
2,major,0,35716,6028,11491,0.8812113828213385,3525,0.9741843971631206
2,major,1,23058,8837,11479,0.8662775503092603,5972,0.9939718687206965
2,major,2,27619,77,11531,0.5300494319660047,223,0.2062780269058296
2,major,3,18305,39,11419,0.45152815482966985,78,0.2948717948717949
2,major,4,5199,8,11506,0.15652702937597776,110,0.05454545454545454
2,major,5,2193,8,11412,0.0903434980722047,61,0.09836065573770492
2,major,6,1956,12,11472,0.09954672245467225,54,0.12962962962962962
2,major,7,627,4,11527,0.03374685520950811,78,0.02564102564102564
2,major,8,11,0,11432,0.0003498950314905528,2337,0.0
2,major,9,4,0,11419,0.0003502933706979595,2575,0.0
2,minor,0,9966,478,11491,0.448611957183883,1137,0.32629727352682497
2,minor,1,15384,4445,11479,0.6940500043557801,3684,0.8979370249728555
2,minor,2,4465,0,11531,0.14708177955077617,397,0.0
2,minor,3,5482,2,11419,0.15535510990454507,511,0.0019569471624266144
2,minor,4,14769,257,11506,0.4359464627151052,704,0.2599431818181818
2,minor,5,17943,1095,11412,0.5616018226428321,939,0.7710330138445154
2,minor,6,16736,3237,11472,0.6505404463040446,2616,0.9682721712538226
2,minor,7,11480,2956,11527,0.4866834388826234,2541,0.8957103502558048
2,minor,8,10948,3509,11432,0.5154828551434569,3075,0.863739837398374
2,minor,9,7515,2343,11419,0.3716612663105351,2718,0.6221486387049301
3,major,0,33519,7029,11459,0.888995549349856,4644,0.9737295434969854
3,major,1,21446,11407,11500,0.8901739130434783,7753,0.9966464594350574
3,major,2,22984,2095,11407,0.5731568335232752,1596,0.8076441102756893
3,major,3,15869,639,11487,0.4304866370679899,647,0.5486862442040186
3,major,4,9030,720,11431,0.31038404339077946,874,0.4977116704805492
3,major,5,4528,278,11489,0.20114892505875184,564,0.35638297872340424
3,major,6,4636,805,11444,0.2725445648374694,1042,0.6535508637236085
3,major,7,2443,197,11464,0.15814724354501047,522,0.3390804597701149
3,major,8,156,11,11520,0.008420138888888888,2209,0.003168854685377999
3,major,9,77,0,11487,0.004788021241403325,3330,0.0
3,minor,0,8229,1626,11459,0.41862291648485905,2946,0.439918533604888
3,minor,1,14804,7096,11500,0.7289565217391304,5954,0.8743701713134028
3,minor,2,4521,136,11407,0.18102919260103445,1663,0.058929645219482865
3,minor,3,4834,70,11487,0.1467746147819274,2408,0.016611295681063124
3,minor,4,16782,2616,11431,0.49671944711748756,2853,0.5148966000701016
3,minor,5,20830,5959,11489,0.6406997998085124,3957,0.8319433914581754
