epoch,mode,epoch_time_sec,peak_allocated_mb,peak_reserved_mb,param_count_m,param_count_major_m,param_count_minor_m,train_loss,train_loss_x,train_loss_u,mask,mask_major,mask_minor,test_acc,test_acc_major,test_acc_minor,test_acc_ensemble,test_acc_final,macro_f1,macro_f1_major,macro_f1_minor,macro_f1_ensemble,macro_f1_final,pseudo_pred_js,pseudo_pred_l1,pseudo_agreement_rate,pseudo_accepted_js,pseudo_accepted_agreement_rate
1,dual_sampler_weighted_ce,226.87589144706726,3431.73828125,3862.0,2.93522,1.46761,1.46761,2.447245527524501,2.447245527524501,0.0,,0.0,0.0,,20.3,19.96,19.96,19.96,,11.749748885631561,15.879878401756287,12.228058278560638,12.228058278560638,0.3127414584159851,1.3456158638000488,0.21144321986607142,0.0,0.0
2,dual_sampler_weighted_ce,227.05385160446167,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.8460701163858175,1.719769906019792,0.494848847592948,,0.1309029771873611,0.1597551695376751,,23.4,29.48,26.66,26.66,,15.166668593883514,26.0932058095932,19.97447907924652,19.97447907924652,0.2447214424610138,1.2102574110031128,0.2779628208705357,0.3866339921951294,0.6690956651718983
3,dual_sampler_weighted_ce,227.08357620239258,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.8155953329987824,1.3781444418709725,0.5667131853406318,,0.202122288843384,0.3510742348735221,,30.18,40.3,37.6,37.6,,21.955879032611847,38.08059096336365,33.3072304725647,33.3072304725647,0.18748201429843903,1.0712541341781616,0.33475167410714285,0.31024712324142456,0.7146025247355852
4,dual_sampler_weighted_ce,227.29842281341553,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.9658262133598328,1.0547856186167337,0.9110405967803672,,0.3202078833419364,0.546194919210393,,35.36,47.25,45.31,45.31,,26.812177896499634,45.13513147830963,41.61967635154724,41.61967635154724,0.15928491950035095,0.9979074001312256,0.37765938895089285,0.2107740342617035,0.7023130199939016
5,dual_sampler_weighted_ce,228.284325838089,3431.73828125,3862.0,2.93522,1.46761,1.46761,2.104466998251155,0.8042990046087652,1.30016799736768,,0.48978971340693533,0.7281930443132296,,40.13,52.1,50.59,50.59,,32.01175928115845,50.918757915496826,48.35056662559509,48.35056662559509,0.14532949030399323,0.959542453289032,0.41133335658482145,0.14036637544631958,0.6538593325262124
6,dual_sampler_weighted_ce,227.45313835144043,3431.73828125,3862.0,2.93522,1.46761,1.46761,2.111795117612928,0.6582963762339205,1.4534987409133464,,0.5884835644392297,0.8183594108559191,,45.79,56.07,55.27,55.27,,39.479538798332214,55.71330189704895,54.2000412940979,54.2000412940979,0.12209011614322662,0.875,0.4578857421875,0.09617989510297775,0.6698326237222691
7,dual_sampler_weighted_ce,227.4270739555359,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.9944441316183656,0.5584620278095827,1.4359821036923677,,0.6190883348463103,0.8335920434910804,,50.47,59.62,59.49,59.49,,45.87242603302002,59.95621681213379,59.393107891082764,59.393107891082764,0.10657814145088196,0.8124651908874512,0.49244907924107145,0.07729773223400116,0.7074331983805668
8,dual_sampler_weighted_ce,227.47314882278442,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.8314768597483635,0.44730834268557373,1.384168516146019,,0.6482108258642256,0.8401489639654756,,54.71,63.33,63.27,63.27,,51.78893804550171,63.841962814331055,63.52454423904419,63.52454423904419,0.07892654836177826,0.694998562335968,0.5507638113839286,0.052486613392829895,0.7578277587890625
9,dual_sampler_weighted_ce,227.47157168388367,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.7064743146765977,0.3625335882534273,1.3439407257828861,,0.664899583091028,0.847098252736032,,59.47,66.13,66.03,66.03,,57.95784592628479,66.71760678291321,66.39110445976257,66.39110445976257,0.06509030610322952,0.6164724826812744,0.5883963448660714,0.04106684401631355,0.7881284854548932
10,dual_sampler_weighted_ce,227.72703218460083,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.6518435617908835,0.3259304605307989,1.325913097942248,,0.6779698268510401,0.8499930649995804,,62.93,68.76,68.84,68.84,,62.07209825515747,69.27052736282349,69.17243599891663,69.17243599891663,0.06183794513344765,0.598615288734436,0.6008126395089286,0.038599979132413864,0.796295764124375
11,dual_sampler_weighted_ce,227.47871923446655,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.547571312636137,0.26932919255341403,1.2782421166775748,,0.6891654211794958,0.8520682592643425,,65.39,70.47,70.71,70.71,,64.96118307113647,70.98199129104614,71.04383707046509,71.04383707046509,0.05404443293809891,0.5631800293922424,0.6268310546875,0.03249670937657356,0.81900911434488
12,dual_sampler_weighted_ce,227.77834844589233,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.4534392703790218,0.2181467086338671,1.2352925607701764,,0.699305975693278,0.8496530102565885,,67.51,72.31,72.75,72.75,,67.29143857955933,72.7612316608429,73.06641340255737,73.06641340255737,0.047936633229255676,0.5202811360359192,0.6485770089285714,0.029510613530874252,0.8348594578095951
13,dual_sampler_weighted_ce,228.2648801803589,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.3827335987007245,0.19524550591449952,1.1874880916438997,,0.7097691465169191,0.842965301242657,,69.16,74.42,74.31,74.31,,69.10010576248169,74.80844259262085,74.59923028945923,74.59923028945923,0.03898514807224274,0.4721679985523224,0.6751621791294643,0.02359146811068058,0.8521549074516768
14,dual_sampler_weighted_ce,227.78484725952148,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.3478608708828688,0.17178182611678494,1.1760790444677696,,0.7192034379113466,0.8527483643265441,,70.73,75.69,75.93,75.93,,70.73642015457153,76.07420682907104,76.23371481895447,76.23371481895447,0.039767008274793625,0.4686627984046936,0.6789027622767857,0.022665588185191154,0.854573718206427
15,dual_sampler_weighted_ce,227.38586974143982,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.303644734667614,0.15173726086504757,1.1519074769457802,,0.72017999982927,0.8513096796814352,,71.74,76.74,76.65,76.65,,71.76163792610168,77.10838913917542,76.91930532455444,76.91930532455444,0.036241769790649414,0.4520438313484192,0.6921561104910714,0.021091284230351448,0.8634292565947242
16,dual_sampler_weighted_ce,227.42765164375305,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.2618907088181004,0.1365578795739566,1.125332829542458,,0.7223598285345361,0.8506470116553828,,72.67,77.55,77.49,77.49,,72.7191150188446,77.8986394405365,77.75049209594727,77.75049209594727,0.03550088033080101,0.44677734375,0.6947719029017857,0.020541615784168243,0.8657978723404255
17,dual_sampler_weighted_ce,227.82470059394836,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.2021251587430015,0.11809741413890151,1.084027745993808,,0.7260916903614998,0.8499233080074191,,73.33,78.18,78.22,78.22,,73.42373728752136,78.51715087890625,78.47108244895935,78.47108244895935,0.03213947266340256,0.4168352484703064,0.71136474609375,0.018745407462120056,0.8780465251449783
18,dual_sampler_weighted_ce,227.66969299316406,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.189623637823388,0.11537289756415703,1.0742507430259138,,0.7355434207711369,0.8458513921359554,,74.29,78.93,78.96,78.96,,74.41126108169556,79.26408052444458,79.19411659240723,79.19411659240723,0.0297390166670084,0.403355211019516,0.7200840541294643,0.017625927925109863,0.8806110458284371
19,dual_sampler_weighted_ce,227.8219177722931,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.1487812389386818,0.09648332557480899,1.052297916263342,,0.7339303500484675,0.8524170322343707,,74.96,79.57,79.36,79.36,,75.08125305175781,79.89999055862427,79.60284948348999,79.60284948348999,0.028759051114320755,0.3951939344406128,0.7276262555803571,0.01568913832306862,0.8872856328687633
20,dual_sampler_weighted_ce,228.00572180747986,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.1196545922430232,0.08872899602465623,1.030925593804568,,0.7397199699189514,0.8494437471963465,,75.59,80.31,80.05,80.05,,75.73044896125793,80.62489628791809,80.29323816299438,80.29323816299438,0.026626724749803543,0.3789411187171936,0.7369820731026786,0.015165774151682854,0.8927877000733978
21,dual_sampler_weighted_ce,228.60086464881897,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.0955004456918687,0.0871462722425349,1.0083541736239567,,0.7409145153360441,0.8514317495282739,,75.9,80.87,80.5,80.5,,76.07395648956299,81.15302324295044,80.71426153182983,80.71426153182983,0.025746162980794907,0.3773716688156128,0.7405221121651786,0.014557749032974243,0.8945173130727174
22,dual_sampler_weighted_ce,227.750150680542,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.0667524168966338,0.0732303762142692,0.9935220419429243,,0.7478376457002014,0.8508301171241328,,76.59,81.22,80.93,80.93,,76.76003575325012,81.49530291557312,81.1430275440216,81.1430275440216,0.02349538542330265,0.3587995767593384,0.7514299665178571,0.012870870530605316,0.900942379158581
23,dual_sampler_weighted_ce,228.04563283920288,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.0590213085524738,0.07405066765750234,0.9849706426030025,,0.7456316611496732,0.8518328362843022,,77.05,81.8,81.38,81.38,,77.22779512405396,82.07979202270508,81.59223794937134,81.59223794937134,0.023018287494778633,0.3463832139968872,0.7546822684151786,0.012397974729537964,0.9058856367119603
24,dual_sampler_weighted_ce,227.96577644348145,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.0331118317553774,0.07235356316050456,0.9607582713942975,,0.7454834344098344,0.8507778011262417,,77.76,82.18,81.96,81.96,,77.91084051132202,82.43727684020996,82.16725587844849,82.16725587844849,0.023499030619859695,0.3505161702632904,0.7550310407366071,0.013341616839170456,0.9058995922528033
25,dual_sampler_weighted_ce,227.91036891937256,3431.73828125,3862.0,2.93522,1.46761,1.46761,1.0589236459927633,0.07681224586758617,0.9821114015066996,,0.7506975783035159,0.8562448075972497,,78.29,82.53,82.33,82.33,,78.46745252609253,82.7668309211731,82.53339529037476,82.53339529037476,0.02407122403383255,0.3628801703453064,0.7527814592633929,0.013165153563022614,0.9007112733681627
26,dual_sampler_weighted_ce,227.93643260002136,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.9790662946179509,0.054202261532736884,0.9248640339355916,,0.7589373245136812,0.8511876099510118,,78.71,82.98,82.54,82.54,,78.89832854270935,83.20345878601074,82.75333642959595,82.75333642959595,0.019790828227996826,0.3203124701976776,0.7752423967633929,0.010995665565133095,0.9122067653750047
27,dual_sampler_weighted_ce,228.03072834014893,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.9588301354087889,0.05126382748130709,0.9075663062976673,,0.7588675701990724,0.8517456447007135,,79.15,83.23,82.84,82.84,,79.34953570365906,83.437979221344,83.03715586662292,83.03715586662292,0.018670212477445602,0.310791015625,0.7786952427455357,0.009977754205465317,0.9169670154855708
28,dual_sampler_weighted_ce,228.10656094551086,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.9611089763930067,0.05580030129476654,0.9053086761850864,,0.7583880097372457,0.8496355718234554,,79.44,83.38,83.21,83.21,,79.65339422225952,83.59516263008118,83.4060788154602,83.4060788154602,0.018299322575330734,0.3100237250328064,0.7807704380580357,0.009898551739752293,0.9172446366868025
29,dual_sampler_weighted_ce,228.59941601753235,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.9491499844007194,0.054369052965284936,0.8947809314122424,,0.7585972722154111,0.8545445420313627,,79.73,83.79,83.31,83.31,,79.91769313812256,84.00047421455383,83.49851369857788,83.49851369857788,0.019407154992222786,0.3167550265789032,0.7792794363839286,0.010214927606284618,0.9188277042956051
30,dual_sampler_weighted_ce,228.3408977985382,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.930253617814742,0.049419447084801504,0.880834172014147,,0.7633841717615724,0.8546666145557538,,80.27,83.94,83.41,83.41,,80.44530153274536,84.14793014526367,83.5845947265625,83.5845947265625,0.017682062461972237,0.3074602782726288,0.7865687779017857,0.009161272086203098,0.9196405553714139
31,dual_sampler_weighted_ce,228.02053117752075,3431.73828125,3862.0,2.93522,1.46761,1.46761,0.87758955929894,0.03656556767919028,0.8410239912336692,,0.7655291211558506,0.8493739941623062,,80.94,84.32,83.93,83.93,,81.11321330070496,84.50128436088562,84.0921401977539,84.0921401977539,0.01581791788339615,0.282400906085968,0.8011648995535714,0.008567778393626213,0.9291098656354781
