epoch,pred_js,pred_l1,pred_cosine,accepted_js,accepted_l1,accepted_cosine,agreement_rate,both_accepted_agreement_rate,major_only_accept_count,minor_only_accept_count,both_accept_count
1,0.29957908391952515,1.3378207683563232,0.4530044198036194,0.0,0.0,9.999999960041972e-12,0.20294189453125,0.0,0,0,0
2,0.23030023276805878,1.187151312828064,0.49991536140441895,0.4173167943954468,1.5837652683258057,0.3806363344192505,0.2791660853794643,0.6201456310679612,8192,15516,4944
3,0.174004465341568,1.0416783094406128,0.5647227764129639,0.28361809253692627,1.3343725204467773,0.45654040575027466,0.35569545200892855,0.7375886524822695,10083,31430,11985
4,0.14147710800170898,0.9560720324516296,0.5987728834152222,0.1706809550523758,1.032401442527771,0.5607668161392212,0.4097813197544643,0.7386363636363636,12556,41031,25872
5,0.1290348470211029,0.9152832627296448,0.6119136810302734,0.11344151198863983,0.8445037007331848,0.6547191143035889,0.44387381417410715,0.6989535532015267,11464,38795,46634
6,0.0911613255739212,0.7664969563484192,0.7087451815605164,0.06537660956382751,0.6489850282669067,0.7786299586296082,0.5151279994419643,0.7354900575350762,8972,34534,59442
7,0.07498353719711304,0.6972132921218872,0.751676082611084,0.04934059828519821,0.5554788112640381,0.8264588117599487,0.5522635323660714,0.7644223954642098,8752,31634,63495
8,0.05876106396317482,0.6132463812828064,0.7986932396888733,0.03523987531661987,0.4786408543586731,0.87342369556427,0.5930524553571429,0.796936877475099,8144,29487,66664
9,0.0535665899515152,0.5817696452140808,0.812482476234436,0.030583368614315987,0.4436953663825989,0.8891462683677673,0.6129411969866071,0.8131791097090781,7767,28247,68472
10,0.042789652943611145,0.5174211859703064,0.8474940657615662,0.02355680614709854,0.3871309757232666,0.9141182899475098,0.6475917271205357,0.835565688230265,7710,26157,70180
11,0.03863535821437836,0.4898158311843872,0.8610350489616394,0.0216942448168993,0.3681434392929077,0.9197787046432495,0.6696515764508929,0.8523176679383446,7684,24672,71559
12,0.03498837724328041,0.459699422121048,0.8731406331062317,0.019225899130105972,0.3438774049282074,0.9298677444458008,0.6828700474330357,0.8608802665966067,7602,23903,72319
13,0.030564142391085625,0.4341517686843872,0.8879190683364868,0.017024455592036247,0.330893874168396,0.936927318572998,0.6960972377232143,0.8673987063955476,7702,22541,73129
14,0.02839883789420128,0.4215087592601776,0.8948494791984558,0.015291720628738403,0.31618165969848633,0.9426909685134888,0.7088361467633929,0.877038878903769,7251,21984,73999
15,0.024534951895475388,0.3781563937664032,0.9089052677154541,0.013652405701577663,0.2929181456565857,0.9496978521347046,0.7277396065848214,0.8900878866879888,7589,20718,74414
