ratio,method,model,class,recall,precision,f1
50,baseline,fixmatch,0,97.69999694824219,64.2340492518539,77.50891876220703
50,baseline,fixmatch,1,99.0,79.45425354533305,88.15672302246094
50,baseline,fixmatch,2,87.69999694824219,78.09439095031799,82.61893463134766
50,baseline,fixmatch,3,81.5999984741211,63.5019433348543,71.42231750488281
50,baseline,fixmatch,4,87.80000305175781,88.68687548723513,88.2412109375
50,baseline,fixmatch,5,65.5,84.73480327441608,73.88607025146484
50,baseline,fixmatch,6,83.9000015258789,95.01699392296675,89.11312103271484
50,baseline,fixmatch,7,73.69999694824219,94.85200358965294,82.94879150390625
50,baseline,fixmatch,8,70.0999984741211,99.01131209772042,82.08431243896484
50,baseline,fixmatch,9,68.5999984741211,98.84727086324673,80.99173736572266
50,dual,ensemble,0,95.0,82.89703167527924,88.53681182861328
50,dual,ensemble,1,97.69999694824219,90.54682204176562,93.98750305175781
50,dual,ensemble,2,87.9000015258789,86.4306657650884,87.15914154052734
50,dual,ensemble,3,84.89999389648438,70.69109486695952,77.1467514038086
50,dual,ensemble,4,91.5,88.57697262852462,90.01476287841797
50,dual,ensemble,5,71.5999984741211,86.68281305630028,78.42278289794922
50,dual,ensemble,6,93.0999984741211,93.85081658899298,93.4738998413086
50,dual,ensemble,7,87.4000015258789,97.11110922731008,92.0
50,dual,ensemble,8,89.5,97.60086329612176,93.37506103515625
50,dual,ensemble,9,86.9000015258789,97.75030264386282,92.00636291503906
100,baseline,fixmatch,0,98.29999542236328,53.308038798830005,69.12799835205078
100,baseline,fixmatch,1,98.79999542236328,77.12724412340441,86.62866973876953
100,baseline,fixmatch,2,87.0999984741211,72.58334371778786,79.18182373046875
100,baseline,fixmatch,3,81.0999984741211,60.61285496306744,69.37553405761719
100,baseline,fixmatch,4,85.5,85.92965043200073,85.71428680419922
100,baseline,fixmatch,5,60.000003814697266,87.08272356953735,71.04795837402344
100,baseline,fixmatch,6,80.5,94.15204000768207,86.79244995117188
100,baseline,fixmatch,7,69.9000015258789,95.88475335416055,80.8559799194336
100,baseline,fixmatch,8,44.29999923706055,98.88394195024006,61.18784713745117
100,baseline,fixmatch,9,61.400001525878906,98.87278334776278,75.75570678710938
100,dual,ensemble,0,96.5999984741211,81.38163996727349,88.34019470214844
100,dual,ensemble,1,97.5999984741211,90.875230750339,94.11764526367188
100,dual,ensemble,2,89.0999984741211,85.26314821935641,87.13935852050781
100,dual,ensemble,3,86.4000015258789,66.82135100534197,75.35979461669922
100,dual,ensemble,4,91.5,89.53032661070243,90.50444793701172
100,dual,ensemble,5,68.0,88.7728468715112,77.01019287109375
100,dual,ensemble,6,91.29999542236328,94.90645127625018,93.06829833984375
100,dual,ensemble,7,84.19999694824219,98.02095285248737,90.58633422851562
100,dual,ensemble,8,88.0,97.9955420656171,92.72918701171875
100,dual,ensemble,9,86.79999542236328,97.09172940738623,91.65786743164062
